zip_code,ride_id,started_at_date,ride_length
07030,C5D509E183E08799,2022-11-09,1
07030,4FA57F2087E18361,2022-11-11,21
07030,AEA57917C828A996,2022-11-10,1
07030,65350586979AC7D1,2022-11-29,0
07030,EFC18E2DD657F28E,2022-11-03,57
07030,EDDF9E36DA1D52E6,2022-11-05,10
07030,7681373D3CBB6935,2022-11-28,10
07030,23CB77A51549E14F,2022-11-20,6
07030,36D14D26C42BEF08,2022-11-28,12
07030,011B4B1FE702BE86,2022-11-01,10
07030,68F8DA0C4ADC5675,2022-11-24,11
07030,A8F92B0E8510B890,2022-11-01,8
07030,48BAE388EB26B611,2022-11-15,8
07030,465719F26E5A2F6E,2022-11-02,12
07030,4436942D5832EB9A,2022-11-29,11
07030,6A18A4876EC7DA36,2022-11-13,6
07030,3676A442ABE0C3F5,2022-11-14,11
07030,5CD869AC41AED992,2022-11-04,8
07030,CBF4DE526849A6AA,2022-11-21,7
07030,ED75FFB72F4A2891,2022-11-16,9
07030,AEC6C19E7714A66A,2022-11-21,9
07030,C91143EF67FD29B5,2022-11-25,10
07030,03050EBD38F864AD,2022-11-08,5
